MAT;RAZONSOCIAL;DIRECCION;EST;PROPIETARIO;TELEFONO1
109052;C & S SUMINISTRO Y DISTRIBUCIONES                                ;CR  19A 1  7 41                                                                                                                    ;MA;C&S SUMINISTROS Y DISTRIBUCIONES S.A.S.                   ;0
109053;GESTIONES EMPRESARIALES DEL CESAR                                ;CL  18  CR 15 23                                                                                                                   ;MI;GESTIONES EMPRESARIALES DEL CESAR S.A.S.                  ;             
109054;SERVI MORE #2                                                    ;CL 7  4  63                                                                                                                        ;MA;CUDRIS AVILA MARY LUZ                                     ;5769160
109056;PARQUEADERO LOS GALLOS                                           ;CR 11  14  55 BR LOPERENA                                                                                                          ;MA;MERCADO MARINO ANA MARIA                                  ;5706978
109058;PROVISIONES DARLIANYS                                            ;CL 5F  44 78                                                                                                                       ;MA;FLOREZ JAIMES BLEIDYS                                     ;3216237235
109060;BOUTIQUE MENET                                                   ;CL 14  9 33  LC 2                                                                                                                  ;MC;GOMEZ PE—A CARLOS EDUARDO                                 ;5801571
109063;PAPELERIA Y VARIEDADES ALEMAN                                    ;MZ 101  CA 18  BRR GARUPAL ET 4                                                                                                    ;MI;MORALES ALEMAN LILIANA                                    ;             
109065;FABRICA DE CHINCHORROS LOS BERMUDEZ                              ;MZ E  CA 168 BRR NUEVO MILENIO                                                                                                     ;MI;BERMUDEZ VIDES MARIA DEL CARMEN                           ;             
109068;GORDO'S COMIDAS A TU TALLA                                       ;CR 11  9  200 BRR SAN JOAQUIN                                                                                                      ;MA;HINOJOSA MEZA JORGE LUIS                                  ;3003754747
109070;ALUMINIO Y VIDRIOS EL PORTA                                      ;CL 6  6  51                                                                                                                        ;MI;DAZA DIAZ JAVIER ALFONSO                                  ;             
109071;METALICAS CARABALLO                                              ;CL 4  45  21 BRR LA NEVADA                                                                                                         ;MA;CARABALLO ULTERO RAUL ENRIQUE                             ;3116788780
109073;BILLARES EL AMERICANO                                            ;CL 28  4  22                                                                                                                       ;MA;CONTRERAS PEREZ HERNAN                                    ;5734631
109075;LIBELULA TIENDA DEL PELUQUERO                                    ;DG 1  7  26                                                                                                                        ;MC;OSSA TORRES JOHANNA PAOLA                                 ;3113724607
109077;JOFAMA                                                           ;CR 18  16  50                                                                                                                      ;MA;VEGA CALDERON NURIS MARIA                                 ;3205474014
109080;STATUS DISCO BAR A.R.                                            ;CL 5  CR 4 8 CRR ARJONA                                                                                                            ;MI;RIVERA QUINTERO ALVARO                                    ;             
109082;BILLARES CENTRAL A.C.                                            ;CL 4  CR 4  115 CRR ARJONA                                                                                                         ;MI;CASTILLEJO DIAZ AURIS ROCIO                               ;             
109084;JUANA BU                                                         ;CL 1  1  74                                                                                                                        ;MI;FRANCO ARRIETA JUANA IRIS                                 ;             
109086;VALSAO DISCO BAR                                                 ;CL 4  CR 3  62 CRR ARJONA                                                                                                          ;MI;GARCIA ANDRADE DINA ISABEL                                ;             
109089;DISCO BAR LA CLAVE                                               ;CL 4 CR 2 41                                                                                                                       ;MI;NOYA LOPEZ ALFREDO                                        ;             
109091;TIENDA EL LIMON J.P.                                             ;CR 5  CL 4  49 BRR 7 DE DICIEMBRE CRR ARJONA                                                                                       ;MA;PALOMINO CASTRO JAVIER JOSE                               ;3107425065
109093;BAR ALTOS DEL CARMEN                                             ;CR 6  14  12                                                                                                                       ;MI;ARQUEZ MAESTRE ZULEIMA                                    ;             
109095;FERRETERIA LA NEVADA                                             ;CL 6  43  64 AP 01                                                                                                                 ;MC;GUERRA MANJARRES LICETH NACARITH                          ;3215464138
109096;LA CASA DEL HOGAR G.A.                                           ;CL  18  18A  10                                                                                                                    ;MC;GALVIS ANILLO ZENITH MATILDE                              ;             
109098;VARIEDADES SUGE                                                  ;TV 13  6  39                                                                                                                       ;MI;VILLAMIL ANGULO SUGEIS MILAGRO                            ;             
109100;TIENDA LAS TABLITAS                                              ;CR 23  29  01                                                                                                                      ;MC;TABORDA CAISA CARLOS ANDRES                               ;             
109102;CONFECCIONES CATYANA                                             ;CR 6  CL 3A  35                                                                                                                    ;MI;MARTINEZ ARIAS RAIMUNDA BEATRIZ                           ;             
109104;CONSULTORIO ODONTOLOGICO JULIO ROMAN FUENTES                     ;CL 6  8 33 SEC CENTRO                                                                                                              ;MA;FUENTES CALDERON JULIO ROMAN                              ;5770396
109108;APARTA HOTEL PRADO Z.T.                                          ;CRA 14B  10 23                                                                                                                     ;MA;ZAYAS TORRES DARLY                                        ;5767645
109111;CIBERCAFE LA 10                                                  ;CL 10  14B  35                                                                                                                     ;MI;SANCHEZ ALVARADO JOAN ANTONIO                             ;             
109113;COMERCIALIZADORA QUINTERO MAYA                                   ;CL 14 16A 26                                                                                                                       ;MA;QUINTERO MAYA EDUAR                                       ;3014915575
109115;COMERCIALIZADORA DHO                                             ;CL  16B  9 76  OF 204                                                                                                              ;MA;COMERCIALIZADORA DHO S.A.S.                               ;5745054
109118;VARIEDADES OSPI                                                  ;CL 6  40  84                                                                                                                       ;MA;OSPINO CANAVAL OSWALDO ENRIQUE                            ;3106907183
109119;SERVINACIONAL ASESORIAS                                          ;CR  19  22B 17                                                                                                                     ;MA;SERVINACIONAL ASESORIAS S.A.S.                            ;5881845
109121;NAPOLES A.Y                                                      ;CR 23  31  28                                                                                                                      ;MI;MARTINEZ LOPEZ AURA YOLIMA                                ;             
109123;PROVISIONES VENITO                                               ;CR 41  3B  05                                                                                                                      ;MI;PAEZ VILLA JOSE ANTONIO                                   ;             
109125;EL SAZON DE DO—A AMANDA                                          ;CL 6  43  72 BRR LA NEVADA                                                                                                         ;MI;RAMIREZ AMANDA                                            ;             
109127;INTERMEGARED                                                     ;CL 6  45  41 AP 1 BRR LA NEVADA                                                                                                    ;MI;RUEDAS RUEDAS DEIBER                                      ;             
109130;VARIEDADES LAURA DANIELA 27                                      ;CL 6  46  37 BRR LA NEVADA                                                                                                         ;MI;LOTERO CONTRERAS LUCY ESTHER                              ;             
109132;PROVISIONES SINAI                                                ;CR 2  27 395 BRR LOS MAYALES                                                                                                       ;MC;MALDONADO URIBE ELENA MERCEDES                            ;3135967141
109136;DILIGENTES XPRESS                                                ;DG  5  9 70                                                                                                                        ;MI;DILIGENTES XPRESS S.A.S.                                  ;             
109137;A. & P. SISTEMAS                                                 ;CR 33 31 13                                                                                                                        ;MA;A. & P. SISTEMAS S.A.S.                                   ;5892406
109140;DISTRIBUCIONES Y SERVICIOS EL MAJITO                             ;MZ D CA 15  BRR ALTA GRACIA                                                                                                        ;MI;HERRERA OLAYA JOSE IVAN                                   ;5700187
109143;C.A.C WORLD MUSIC                                                ;CR 22  16  65 BRR DANGOND                                                                                                          ;MI;ARRAUTT RINCON ALFREDO                                    ;             
109144;INVERSIONES GNECCO O—ATE Y CIA                                   ;CL  15  4 33 EN 1 P 4  LC 1 BRR ALTAGRACIA                                                                                         ;MC;INVERSIONES GNECCO O—ATE Y CIA S.A.S.                     ;5749216
109145;LMC LIMPIEMOS                                                    ;MZ  B  CA  8 BRR VILLALIGIA II                                                                                                     ;MI;LMC LIMPIEMOS S.A.S.                                      ;             
109147;PROVISIONES EL ARCA DE TODOS                                     ;CR 42  5E 27 AP 1 BRR LA NEVADA                                                                                                    ;MA;MARTINEZ RAMIREZ JUAN FRANCISCO                           ;3105216770
109149;ESTANQUILLO EL VIEJO VALE                                        ;CL 4  13  96 CRR LA LOMA                                                                                                           ;MA;MANJARREZ MARTINEZ VALENTIN                               ;3152052799
109151;PUNTO FRIO LA 28                                                 ;CL 28  4  104 BR VILLA DEL ROSARIO                                                                                                 ;MA;CORTES PACHECO ITALO MANUEL                               ;5896069
109153;SOLTECNH                                                         ;CL 15  10 02 LC 1  OBRERO                                                                                                          ;MA;SOLTECNH S.A.S.                                           ;5805723
109156;YOME RECREACION Y EVENTOS                                        ;CARRERA 12 7B 85                                                                                                                   ;MA;LOPEZ ZAMBRANO FREDDY YOMEINYS                            ;5710015
109157;PAP TERMINAL DE TRANSPORTE                                       ;CR  7A  44 126 P 1 LC 7                                                                                                            ;MA;INVERSIONES ARCE SOCARRAS S.A.S.                          ;5821164
109159;VARIEDADES SOFIA - J.R.                                          ;CL 37  20  03 AP 1                                                                                                                 ;MC;RODRIGUEZ PEREZ JESUS HEMEL                               ;0
109162;LEIDY GUZMAN DISTRIBUIDORA STETIC CENTER VALLEDUPAR              ;CL 17  9  20 LC 209 C.C. TORCOROMA                                                                                                 ;MA;GUZMAN PALOMINO WENDY PAOLA                               ;5809499
109164;DELTA LANGUAGE                                                   ;CR  20A  3A 09                                                                                                                     ;MI;DELTA LANGUAGE S.A.S EN LIQUIDACION                       ;             
109165;ECO CARIBE TRAVEL TOUR                                           ;CR  7  16A 68                                                                                                                      ;MI;ECO CARIBE TRAVEL TOUR S.A.S.                             ;5807881
109167;TIENDA LA 29 COM 21                                              ;CR 21  28  56 BRR PRIMERO DE MAYO                                                                                                  ;MA;GUARDELA OLIVEROS MIGUEL                                  ;3164893922
109169;RESTAURANTE DONDE MIRIAN                                         ;CR 48  5B  10                                                                                                                      ;MI;HERRERA VILLEGAS MIRIAN BEATRIZ                           ;5843888
109171;DAYANA SHOES                                                     ;CR 7A  CL 18 4  LC G220                                                                                                            ;MA;ARROYO SARMIENTO SANDRA MILENA                            ;5895683
109172;SOLUCIONES Y SERVICIOS LOGISTICOS DEL CARIBE                     ;CR 13  13B  85                                                                                                                     ;MA;GUTIERREZ ANAYA ELOY                                      ;5743592
109174;VARIEDADES                                                       ;GALERIA POPULAR LC 128                                                                                                             ;MC;BENDECK PEREZ OLGA PAOLA                                  ;3172329732
109176;ALVEN VALLEDUPAR                                                 ;PENITENCIARIA VIA LA MEZA                                                                                                          ;MA;ALVEN IPS EU                                              ;3499507
109177;MINERALES Y CANTERAS EL COBRE                                    ;CR  6A   13C 17                                                                                                                    ;MI;MINERALES Y CANTERAS EL COBRE S.A.S.                      ;5800717
109179;TIENDA EL JORDAN-MAYALES                                         ;CL 33A  4  90                                                                                                                      ;MC;AMAYA PAYARES OSCAR                                       ;3113166940
109181;CONSTRUCTORA CASANOVA                                            ;CL 4  19D  07 CA 2                                                                                                                 ;MA;CONSTRUCTORA CASANOVA S.A.S.                              ;3173715232
109182;NATUR PERU VALLEDUPAR                                            ;CR 5A  19A 55                                                                                                                      ;MC;CRESPO PAULINO ELEAZAR DIMAS                              ;             
109184;VARIEDADES LA ESQUINA G - 8                                      ;GALERIA POPULAR LC G-8                                                                                                             ;MA;DIAZ OCHOA ALEXANDER JOHAN                                ;3217403638
109186;INGASEG ELECTRONIK                                               ;CL  16  19 26                                                                                                                      ;MI;INGASEG ELECTRONIK S.A.S                                  ;5779643
109189;TOGAS & FANTASIA DEL CESAR                                       ;CL 11  19C1  25 BRR GARUPAL                                                                                                        ;MA;ARROYO GARAY YESICA MARIA                                 ;5897013
109190;SIN SERVICIO INMEDIATO NACIONAL GIROS AL INSTANTE - VALLEDUPAR PR;CR 10  16A  11                                                                                                                     ;MC;FIGUEROA & FLOREZ ASOCIADOS SAS                           ;5606205
109192;CONSAF                                                           ;CR 20A  3  18                                                                                                                      ;MI;BLANCO BERMUDEZ JENNIFER                                  ;             
109194;TIENDA HERMANOS GOMEZ # 1 DUARTE                                 ;CL 6 BIS  19A2 8 LC 2 BRR ARIZONA                                                                                                  ;MA;GOMEZ DUARTE ANDRES                                       ;3135738227
109197;SUMECOL FARMA ASTREA                                             ;CR 3  7  1                                                                                                                         ;MC;SUMECAR COLOMBIA LTDA                                     ;3736170
109198;SIN SERVICIO INMEDIATO NACIONAL GIROS AL INSTANTE - VALLEDUPAR TE;CR  7A  44  156                                                                                                                    ;MC;FIGUEROA & FLOREZ ASOCIADOS SAS                           ;5823895
109200;LA CASA DEL BEBESITO                                             ;GALERIA POPULAR LC G - 189 - 190                                                                                                   ;MC;MENDEZ FLORIAN ABRAHAM ENRIQUE                            ;3147786696
109202;PERFUMERIA PASTORA L.M                                           ;CR 7A  CL 18 4 LC 105                                                                                                              ;MI;CHASOY TISOY LUZ MARIA                                    ;             
109203;SCUTCLINIC CENTRO DE ESTETICA INTEGRAL                           ;CL  7  4 118                                                                                                                       ;MI;SCUTCLINIC CENTRO DE ESTETICA INTEGRAL S.A.S.             ;5769282
109205;TIENDA CUMANA                                                    ;CL 30  4D  5                                                                                                                       ;MA;DE LA HOZ CHINCHILLA HECTOR RAUL                          ;3126613948
109207;TABERNA DISCO BAR SON LATINO                                     ;CL 4  13  72 CRR LA LOMA                                                                                                           ;MI;NOVOA MELO CLAUDIA PATRICIA                               ;             
109209;SERVIFRIO J E                                                    ;CA 144 BRR LA GRANJA                                                                                                               ;MA;TINOCO HERRERA EDGARD ALFONSO                             ;3184000621
109210;SERVICIO GARUPAL CUARTA ETAPA                                    ;MZ 101 CA 19  BRR GARUPAL ETAPA 4                                                                                                  ;MC;ARENAS VERGEL RAMIRO                                      ;5704273
109212;VARIEDADES GODWANA                                               ;CR 7A CL 18 04 2 PISO GALERIA POPULAR                                                                                              ;MI;HIGUERA FERNANDEZ CINDY                                   ;             
109214;LAS DELICIAS DE HOMERO                                           ;CL 13A  9 68 AP 01 BRR OBRERO                                                                                                      ;MC;NARANJO URIBE MARIA PATRICIA                              ;3113214108
109216;PANADERIA ZULIMA DE LA 23                                        ;TV  23  20A  03                                                                                                                    ;MA;GARRIDO ISOLINA                                           ;5708837
109219;MAGA # 1 VALLEDUPAR                                              ;CL 11  19A1 28 BRR LOS CORTIJOS                                                                                                    ;MA;GALEANO GAITAN JAIR JANNER                                ;3006231617
109221;FASHION KIDS VALLEDUPAR                                          ;CL 16A  7  82                                                                                                                      ;MI;MANJARREZ CAMPO MILENA                                    ;             
109224;CALZADO KENEL DAVID                                              ;LC G 216 C.C. GALERIA POPULAR                                                                                                      ;MI;ARIAS FELIZZOLA IDALID                                    ;             
109226;CAMINO AL CIELO ABC                                              ;CR  15  15 7                                                                                                                       ;MA;MEZA GARCIA ROSA MARGARITA                                ;5778279
109227;IMPULSADORES AGROPISCICOLAS                                      ;CR  2  CL  6 52                                                                                                                    ;MI;IMPULSADORES AGROPISCICOLAS S.A.S.                        ;             
109230;PROVISIONES VIOLETA                                              ;TV 21   18B 55  BRR LOS CACIQUES                                                                                                   ;MA;CASTELLANOS DE CAICEDO BELCY                              ;3182903375
109231;INVERSIONES VALLE BECERRA                                        ;DG  16  16 71                                                                                                                      ;MI;INVERSIONES VALLE BECERRA S.A.S.                          ;5707885
109233;BILLARES EL RIVER                                                ;CL 3  8  45 BRR DIVINO NI” CRR LA LOMA                                                                                             ;MA;JIMENEZ PENA JOSE JOAQUIN                                 ;3126423719
109235;LAS AREPITAS DE FADYS                                            ;CR 10  3  01  SEC CENTRO                                                                                                           ;MA;MORALES ARZUAGA FADYS AMELIA                              ;3126245574
109238;SALA DE BELLEZA K'LESSING                                        ;CL 8B  6A  3                                                                                                                       ;MI;LESSING MARIBEL                                           ;             
109240;VARIEDADES SANDRA Q                                              ;CL 18A2  35  16  BRR EL HOGAR                                                                                                      ;MI;QUEVEDO PEREZ SANDRA                                      ;             
109242;CALZADO MAYRA B.                                                 ;CL 17 7A 73 SEC CENTRO                                                                                                             ;MA;VEGA BUSTAMANTE MAYRA ALEJANDRA                           ;5820289
109244;LABORATORIO CLINICO AURIS GUEVARA DE NAVARRO                     ;CL 16  15 51 CONS 209 EDF CENTRO MEDICO DE ESPECIALISTAS SANTANA                                                                   ;MA;LABORATORIO CLINICO AURIS GUEVARA DE NAVARRO S.A.S.       ;5711864
109246;PROVISIONES ANYI                                                 ;CL 30A  2  4 BRR VILLA DEL ROSARIO                                                                                                 ;MI;CARVAJALINO CARVAJALINO EDUARDO                           ;             
109248;PROVISIONES HAROLD                                               ;CR 20  29  54                                                                                                                      ;MA;CARRILLO MARTINEZ EDILBERTO ENRIQUE                       ;5726184
109250;PEZQUERIA PEZ PLATINO PEPEP                                      ;CL  3  5 03 CGTO LA LOMA                                                                                                           ;MC;DISTRIBUIDORA Y COMERCIALIZADORA PLATINO SAS, (DISCOPLA. S;5835936
109252;ALBA STILOS PELUQUERIA                                           ;CARRERA 19 NO 6-93 BR CIUDAD JARDIN                                                                                                ;MA;CANTILLO RAAD ALBA ROSA                                   ;3164978871
109254;VARIEDADES LOSEVAL                                               ;CR 43A  3E  33                                                                                                                     ;MI;TORRES ZAPATA MABELYS ESTHER                              ;5830299
109256;TALLER DE PINTURA SHAROL                                         ;CL 19 A CEN 52 CEN                                                                                                                 ;MA;CASTRO HERNANDEZ ROBIRO                                   ;5703701
109258;PROVISIONES CARLOS TICO                                          ;CR 49  5F 33                                                                                                                       ;MI;VERGEL CA—IZARES NELLIS                                   ;             
109261;CENTRO DE BELLEZA DUNIA                                          ;CL 6  19A2 14                                                                                                                      ;MA;MAESTRE GUILLEN DUNIA ELENA                               ;5894441
109262;YO SOY IMPRESOR                                                  ;MZ P CA 10 URBANIZACION VILLA TAXI                                                                                                 ;MA;QUINTERO BARBOSA LUCILA                                   ;3135218011
109264;FRUTI FRESH HELADERIA Y REFRESQUERIA                             ;CL 6  47  16                                                                                                                       ;MA;RIZO ROCHA JOSE SAUL                                      ;3004199017
109266;TIENDA YIRIS                                                     ;CR 46  6 23                                                                                                                        ;MA;MARTINEZ ALTAMAR YENIS BEATRIZ                            ;3205461286
109268;SAMIYHODY'S                                                      ;CR 38  5G  28 BRR LA NEVADA                                                                                                        ;MI;GAMEZ MARTINEZ YHONNE RAFAEL                              ;5830704
109269;VILLA LIGIA III                                                  ;CL 1  25  79 LC 14 CONJUNTO VILLA LIGIA 3                                                                                          ;MA;INVERSIONES ARCE SOCARRAS S.A.S.                          ;5846468
109272;RESTAURANTE JOHANA                                               ;CL 7  CR 6  84                                                                                                                     ;MA;SEPULVEDA MENDINUETA FERNANDO                             ;3135639804
109274;COMERCIALIZADORA TRADICIONAL TAYRONA                             ;MZ 29  CA 15 URB TAYRONA                                                                                                           ;MI;GOMEZ CUELLO VILMA ESTHER                                 ;             
109276;RED MEDIADORA MEDIRED                                            ;DG 21  29  55  LC 2                                                                                                                ;MI;HERNANDEZ CARDOSO CESAR AUGUSTO                           ;             
109278;RESTAURANTE Y ESTADERO MARYMAR                                   ;CR 30  9  34                                                                                                                       ;MA;MIRANDA O—ATE ULISES                                      ;3004106505
109281;AUTOREPUESTOS EL MONO M.R.                                       ;CR 17 22 16                                                                                                                        ;MA;MONTEJO RODRIGUEZ DIANA                                   ;3218921517
109283;PROVISIONES ANA MARIA OCHOA                                      ;CL 7B  40  95                                                                                                                      ;MC;MORA CUBILLOS MAURICIO                                    ;             
109284;ASADERO MI CALI J.A                                              ;CR  19C  16 37                                                                                                                     ;MC;DIN ARIAS JHON FREDY                                      ;3215196729
109286;RESTAURANTE Y ASADERO JELMAO                                     ;CR 41  2C  28 LA FORTUNA                                                                                                           ;MI;CORDOBA GUERRERO ROSANA ISABEL                            ;             
109289;PROVISIONES LA BENDICION DE JESUS                                ;CL 35A  4A  104                                                                                                                    ;MA;LERICIT CASTRO JESUS MANUEL                               ;3215651532
109290;PROVISIONES LA FE L.A.R                                          ;CR 24  25  50 BRR SIETE DE AGOSTO                                                                                                  ;MA;ARENGAS RODRIGUEZ ANA LUCIA                               ;3116649613
109292;MODA KANKUI                                                      ;DG 18A  24A  32                                                                                                                    ;MA;RAMOS MONTERO YIDID JHOHANA                               ;5847174
109294;DUBAI DRINKS                                                     ;CL 7  CR 3 BRR CENTRO PLAZA PRINCIPAL                                                                                              ;MI;DIAZ MENDOZA FABIAN DAVID                                 ;             
109296;ALMACEN Y CHATARRERIA EL HUECO                                   ;CR 7  18  26 BRR CENTRO                                                                                                            ;MA;JAIMES VASQUEZ WILIAM ARMANDO                             ;3002049548
109298;JOVI FASHION                                                     ;CR 7A  17 18  BRR CENTRO                                                                                                           ;MA;ROMERO BORNACELLY LESBIA LUCIA                            ;3167325474
109302;DELI CARNE M-14                                                  ;GALERIA POPULAR LC M 14                                                                                                            ;MA;ESPINOSA BOLA—OS MELBA                                    ;3185927815
109303;LA GUAKA OPEN SALE                                               ;CR 15  16B 33  BRR LOPERENA                                                                                                        ;MA;GOMEZ GONZALEZ YAMEL ENRIQUE                              ;3015855782
109306;SALA DE BELLEZA YIRA                                             ;CR 11  13B 03 ESQUINA                                                                                                              ;MA;MARTINEZ GUERRERO EUFEMIA JUDITH                          ;5892387
109308;CACHARRERIA ELITH C.P.                                           ;CL 8A  18  8                                                                                                                       ;MA;CASTA—EDA PALLARES URIEL                                  ;3208463939
109310;MISCELANEA LA APLANADORA O.O.                                    ;CR 32  9  66 AP 1                                                                                                                  ;MI;ORTEGA DE LA HOZ ONEIDA                                   ;             
109312;CICLO TALLER RAPALINO                                            ;CR 48  5B  15 BRR LA NEVADA                                                                                                        ;MI;TAPIA OSPINO MAIRE SOL                                    ;             
109313;EL RODEO PARRILLA COMIDAS RAPIDAS                                ;CR 19  8  22 LC 1 BRR LOS CORTIJOS                                                                                                 ;MC;PALENCIA PALENCIA CANDELARIA DEL CARMEN                   ;             
109316;A.V PUBLICIDAD                                                   ;CR 12  17  36  BRR GAITAN                                                                                                          ;MI;VANEGAS HERRERA ALVARO ENRIQUE                            ;             
109318;PUNTO FRIO LOS MURITOS                                           ;CL CENTRAL                                                                                                                         ;MI;NAVARRO BALLESTA ALEXANDRA                                ;             
109320;RESTAURANTE MONTACARGA AVENIDA FUNDACION                         ;DG 21  28  77 BRR SIETE DE AGOSTO                                                                                                  ;MC;BORREGO ASCENDRA CLAUDIA MARGARITA                        ;3183161974
109323;MUNDO GREEN                                                      ;CL  16B  12 14 BRR CENTRO                                                                                                          ;MI;MUNDO GREEN S.A.S.                                        ;5747097
109326;COSMETICOS LISOS Y RIZOS                                         ;CL 4  CR 6  23  CRR LA LOMA                                                                                                        ;MI;RIBON MEDINA BRIGIT                                       ;             
109328;COMPRA VENTA DAVILA                                              ;CR 15  10 18                                                                                                                       ;MA;DAVILA LEON JAILIN                                        ;3135549840
109331;EVENTOS Y LOGISTICAS T & T                                       ;CL 25C  7  25                                                                                                                      ;MA;ARIAS ORTIZ EDILIA MARIA                                  ;5729028
109333;ESTADERO LOS KIOSKOS  DE MOJAO                                   ;CR  ATANQUEZ COMUNIDAD DE MOJAO                                                                                                    ;MA;GUTIERREZ PACHECO WALTER GUZMAN                           ;3182744339
109334;DISTRIBUCIONES ALYMAR VALLEDUPAR                                 ;DG  21  18D 75                                                                                                                     ;MC;OROZCO GARCIA MARIA MARIELA                               ;             
109336;ESTILOS VERONICA                                                 ;CL 7A  38  87                                                                                                                      ;MI;MENDOZA PAREDES MAIRA ALEJANDRA                           ;             
109338;K'BELLOS CHICS                                                   ;CL 7A  NRO. 19E  - 16                                                                                                              ;MA;MARTINEZ ZULETA DELBIS YULEY                              ;3172935814
109339;PROVISIONES CHIMILA                                              ;CR 16  CL 14  53                                                                                                                   ;MI;PACHECO DOMINGUEZ LUIS DANIEL                             ;             
109341;LA CARPA ROJA EL PUNTO DEL SABOR                                 ;CR 19  6D  26 AP 2                                                                                                                 ;MA;JIMENEZ RESTREPO CARLOS ENRIQUE                           ;3166342083
109343;PROVISIONES PAOLA O.A.                                           ;CL 5C  37  28                                                                                                                      ;MI;OCAMPO LOPEZ YULY PAOLA                                   ;             
109345;TIPICO COSTE—O                                                   ;CR 18D  24  60 BRR 1 DE MAYO                                                                                                       ;MI;MINDIOLA MEJIA JUAN CARLOS                                ;             
109347;SOLUCIONES Y SERVICIOS PROFESIONALES PARA EL DESARROLLO SOCIAL IN;CL  3  5 77                                                                                                                        ;MI;SOLUCIONES Y SERVICIOS PROFESIONALES PARA EL DESARROLLO SO;             
109349;ROMIN                                                            ;CL  9C  20 04 BRR EL AMPARO                                                                                                        ;MA;ROMIN SAS                                                 ;3152830537
109351;LA BOUTIQUE DE SHAIRA                                            ;DG 1  10  8  AP 3                                                                                                                  ;MA;MARTINEZ MONSALVE DIEGO                                   ;3127156903
109354;AGROMAQUINARIAS DE ASTREA                                        ;CL 7  3 130                                                                                                                        ;MA;AGROMAQUINARIAS DE ASTREA SAS                             ;5260619
